ncs_id,ncs_code,ncs_label,is_active
NCS_0804_G90Y,0804-G90Y,NCS 0804-G90Y,1
NCS_0804_R10B,0804-R10B,NCS 0804-R10B,1
NCS_0804_R30B,0804-R30B,NCS 0804-R30B,1
NCS_0804_R50B,0804-R50B,NCS 0804-R50B,1
NCS_0804_R70B,0804-R70B,NCS 0804-R70B,1
NCS_0804_R90B,0804-R90B,NCS 0804-R90B,1
NCS_0804_Y10R,0804-Y10R,NCS 0804-Y10R,1
NCS_0804_Y30R,0804-Y30R,NCS 0804-Y30R,1
NCS_0804_Y50R,0804-Y50R,NCS 0804-Y50R,1
NCS_0804_Y70R,0804-Y70R,NCS 0804-Y70R,1
NCS_0804_Y90R,0804-Y90R,NCS 0804-Y90R,1
NCS_0907_B20G,0907-B20G,NCS 0907-B20G,1
NCS_0907_B80G,0907-B80G,NCS 0907-B80G,1
NCS_0907_G20Y,0907-G20Y,NCS 0907-G20Y,1
NCS_0907_G60Y,0907-G60Y,NCS 0907-G60Y,1
NCS_0907_G90Y,0907-G90Y,NCS 0907-G90Y,1
NCS_0907_R10B,0907-R10B,NCS 0907-R10B,1
NCS_0907_R30B,0907-R30B,NCS 0907-R30B,1
NCS_0907_R50B,0907-R50B,NCS 0907-R50B,1
NCS_0907_R70B,0907-R70B,NCS 0907-R70B,1
NCS_0907_R90B,0907-R90B,NCS 0907-R90B,1
NCS_0907_Y10R,0907-Y10R,NCS 0907-Y10R,1
NCS_0907_Y30R,0907-Y30R,NCS 0907-Y30R,1
NCS_0907_Y50R,0907-Y50R,NCS 0907-Y50R,1
NCS_0907_Y70R,0907-Y70R,NCS 0907-Y70R,1
NCS_0907_Y90R,0907-Y90R,NCS 0907-Y90R,1
NCS_1000_N,1000-N,NCS 1000-N,1
NCS_1002_B,1002-B,NCS 1002-B,1
NCS_1002_B50G,1002-B50G,NCS 1002-B50G,1
NCS_1002_G,1002-G,NCS 1002-G,1
NCS_1002_G50Y,1002-G50Y,NCS 1002-G50Y,1
NCS_1002_R,1002-R,NCS 1002-R,1
NCS_1002_R50B,1002-R50B,NCS 1002-R50B,1
NCS_1002_Y,1002-Y,NCS 1002-Y,1
NCS_1002_Y50R,1002-Y50R,NCS 1002-Y50R,1
NCS_1005_B,1005-B,NCS 1005-B,1
NCS_1005_B20G,1005-B20G,NCS 1005-B20G,1
NCS_1005_B50G,1005-B50G,NCS 1005-B50G,1
NCS_1005_B80G,1005-B80G,NCS 1005-B80G,1
NCS_1005_G,1005-G,NCS 1005-G,1
NCS_1005_G10Y,1005-G10Y,NCS 1005-G10Y,1
NCS_1005_G20Y,1005-G20Y,NCS 1005-G20Y,1
NCS_1005_G30Y,1005-G30Y,NCS 1005-G30Y,1
